Date,Open,High,Low,Close,Volume,Adj Close
2016-11-16,109.02,110.00,108.46,110.00,11700,110.00
2016-11-15,107.19,108.86,106.76,108.66,9800,108.66
2016-11-14,108.53,108.73,106.92,107.24,10500,107.24
2016-11-11,106.15,107.00,105.74,106.92,5400,106.92
2016-11-10,107.99,109.65,106.15,106.57,22900,106.57
2016-11-09,103.50,107.94,102.75,107.94,47000,107.94
2016-11-08,105.89,106.35,105.58,106.35,30400,106.35
2016-11-07,104.99,105.75,104.79,105.82,17000,105.82
2016-11-04,103.35,103.46,102.83,103.29,17300,103.29
2016-11-03,103.57,104.63,103.57,103.66,4800,103.66
2016-11-02,105.00,105.31,104.55,104.61,5100,104.61
2016-11-01,107.34,107.38,105.73,105.69,2100,105.69
2016-10-31,107.99,108.06,107.59,107.60,3400,107.60
2016-10-28,107.98,108.45,107.61,108.34,2300,108.34
2016-10-27,109.13,109.55,108.51,108.82,41800,108.82
2016-10-26,109.65,109.65,108.64,109.46,7900,109.46
2016-10-25,110.58,110.77,110.12,110.16,6300,110.16
2016-10-24,109.53,110.26,109.53,110.20,24200,110.20
2016-10-21,108.50,109.10,108.50,109.10,10200,109.10
2016-10-20,108.10,108.35,107.15,107.93,8000,107.93
2016-10-19,107.71,108.00,107.36,107.99,2400,107.99
2016-10-14,106.71,107.67,106.71,107.42,3800,107.42
2016-10-13,106.43,106.58,105.67,106.20,7800,106.20
2016-10-12,106.91,107.30,106.88,107.30,8600,107.30
2016-10-11,107.65,108.15,106.98,106.92,9500,106.92
2016-10-10,106.84,107.66,106.71,107.56,1700,107.56
2016-10-07,107.15,107.21,106.58,106.62,1600,106.62
2016-10-06,106.79,106.79,106.45,106.54,4500,106.54
2016-10-05,106.07,106.90,105.93,106.71,2600,106.71
2016-10-04,106.75,107.28,106.72,107.02,3300,107.02
2016-10-03,104.95,106.31,104.95,106.17,20300,106.17
2016-09-30,105.25,106.39,105.25,106.29,33600,106.29
2016-09-29,106.42,106.46,105.62,105.62,7900,105.62
2016-09-28,106.59,106.83,106.28,106.28,4800,106.28
2016-09-27,105.80,106.30,105.23,106.30,1400,106.30
2016-09-26,106.00,106.01,105.01,104.87,10900,104.87
2016-09-23,106.88,107.00,106.60,106.60,5100,106.60
2016-09-22,105.98,106.63,105.90,106.63,22000,106.63
2016-09-21,106.30,106.30,105.77,105.77,1200,105.77
2016-09-20,105.26,105.83,105.26,105.59,3500,105.59
2016-09-19,106.33,106.45,105.64,105.81,2500,105.81
2016-09-16,103.71,105.70,103.71,105.54,2500,105.54
2016-09-15,103.63,104.84,103.45,104.84,3100,104.84
2016-09-14,103.49,103.88,103.26,103.56,3900,103.56
2016-09-13,103.53,103.71,102.82,102.82,8900,102.82
2016-09-12,103.59,103.59,100.91,103.17,9800,103.17
2016-09-09,104.21,104.21,103.85,103.78,1200,103.78
2016-09-08,105.29,105.29,104.37,104.69,4900,104.69
2016-09-07,105.14,105.51,105.14,105.26,900,105.26
2016-09-06,105.47,105.50,104.84,105.05,4000,105.05
2016-09-05,105.41,105.44,105.28,105.31,500,105.31
2016-09-02,104.76,105.78,104.39,105.48,9000,105.48
2016-09-01,105.43,105.52,104.19,104.40,3000,104.40
2016-08-31,104.99,105.15,104.84,104.84,11400,104.84
2016-08-30,105.13,105.55,104.98,104.99,11200,104.99
2016-08-29,104.71,105.35,104.71,105.22,1200,105.22
2016-08-26,103.83,104.83,103.73,104.69,6700,104.69
2016-08-25,103.88,104.12,103.61,104.08,1600,104.08
2016-08-24,104.61,105.00,104.48,104.87,400,104.87
2016-08-23,104.08,104.58,104.08,104.49,5400,104.49
2016-08-22,104.46,104.46,103.79,103.83,100,103.83
2016-08-19,103.81,104.30,103.72,104.25,500,104.25
2016-08-18,103.91,104.03,103.76,104.03,1700,104.03
2016-08-17,104.33,104.48,103.90,103.90,3700,103.90
2016-08-16,105.11,105.11,104.45,104.54,6900,104.54
2016-08-12,105.65,105.66,104.93,105.26,1800,105.26
2016-08-11,105.15,105.56,105.15,105.48,1000,105.48
2016-08-10,105.35,105.50,104.69,104.69,7700,104.69
2016-08-09,105.90,106.06,105.71,106.01,8800,106.01
2016-08-08,106.03,106.13,105.50,105.73,5200,105.73
2016-08-05,104.74,106.24,104.41,106.18,33100,106.18
2016-08-04,103.54,104.40,103.54,104.34,2000,104.34
2016-08-03,103.10,103.56,102.84,103.36,2200,103.36
2016-08-02,104.19,104.33,102.56,102.66,4200,102.66
2016-08-01,104.16,104.38,103.80,104.38,1800,104.38
2016-07-29,104.20,104.29,103.45,103.83,3800,103.83
2016-07-28,104.20,104.20,103.70,103.89,3900,103.89
2016-07-27,104.64,104.93,104.55,104.74,5800,104.74
2016-07-26,103.80,104.44,103.58,103.86,6500,103.86
2016-07-25,103.68,104.02,103.68,103.94,1000,103.94
2016-07-22,103.22,103.82,103.09,103.91,4100,103.91
2016-07-21,103.51,103.83,103.40,103.63,2000,103.63
2016-07-20,102.86,103.65,102.86,103.65,6700,103.65
2016-07-19,101.96,102.58,101.79,102.46,2600,102.46
2016-07-18,101.83,102.19,101.23,102.17,900,102.17
2016-07-15,100.97,101.81,100.94,101.56,2200,101.56
2016-07-14,101.36,101.57,100.90,101.29,2500,101.29
2016-07-13,101.20,101.45,100.75,100.75,1100,100.75
2016-07-12,100.89,101.34,100.74,101.36,2800,101.36
2016-07-11,100.96,101.20,100.60,101.20,2600,101.20
2016-07-08,98.75,100.16,98.46,100.06,6400,100.06
2016-07-07,98.19,98.59,98.08,98.47,1700,98.47
2016-07-06,97.09,98.01,96.84,97.73,11100,97.73
2016-07-05,97.40,97.40,96.85,97.23,3100,97.23
2016-07-04,98.20,98.20,97.49,97.49,1100,97.49
2016-07-01,97.16,97.95,96.90,97.62,13400,97.62
2016-06-30,96.16,96.87,96.02,96.87,28500,96.87
2016-06-29,95.74,96.23,95.57,96.23,100,96.23
2016-06-28,93.75,94.81,93.64,94.52,12200,94.52
2016-06-27,94.88,94.88,93.41,93.70,10400,93.70
2016-06-24,95.67,96.95,94.73,95.64,5200,95.64
2016-06-23,95.87,96.28,95.40,96.10,2500,96.10
2016-06-22,95.90,96.62,95.90,96.40,3700,96.40
2016-06-21,95.63,96.42,95.53,96.02,3200,96.02
2016-06-20,95.74,96.41,95.65,96.34,4600,96.34
2016-06-17,96.49,96.57,95.20,95.27,16800,95.27
2016-06-16,96.00,96.60,95.72,96.46,30200,96.46
2016-06-15,96.84,97.08,96.48,96.48,3500,96.48
2016-06-14,96.22,96.59,96.12,96.36,4400,96.36
2016-06-13,95.82,96.91,95.65,96.57,7900,96.57
2016-06-10,97.74,97.74,97.19,97.43,11300,97.43
2016-06-09,97.06,97.94,97.06,97.67,1900,97.67
2016-06-08,97.34,97.53,97.08,97.22,2600,97.22
2016-06-07,97.99,98.16,97.85,97.91,4000,97.91
2016-06-06,97.74,97.75,97.43,97.71,1300,97.71
2016-06-02,99.07,99.15,98.00,99.23,100,99.23
2016-06-01,99.68,99.68,99.00,99.17,4700,99.17
2016-05-31,99.70,99.75,99.24,99.56,2600,99.56
2016-05-30,99.50,99.78,99.45,99.68,2400,99.68
2016-05-27,98.41,99.43,98.41,99.43,4100,99.43
2016-05-26,98.17,98.47,97.97,98.42,6300,98.42
2016-05-25,98.33,98.52,98.04,98.35,4500,98.35
2016-05-24,95.25,97.54,95.25,97.54,600,97.54
2016-05-23,95.37,95.93,95.20,95.70,16000,95.70
2016-05-20,94.93,96.03,94.76,95.90,2200,95.90
2016-05-19,94.65,94.88,93.90,93.90,2700,93.90
2016-05-18,94.08,94.71,93.80,94.56,6100,94.56
2016-05-17,94.86,95.17,94.34,94.40,3000,94.40
2016-05-16,94.03,94.51,93.67,94.48,5900,94.48
2016-05-13,93.39,94.75,93.34,94.75,1300,94.75
2016-05-12,93.88,94.31,93.04,93.14,2000,93.14
2016-05-11,94.59,94.59,94.00,94.09,12400,94.09
2016-05-10,94.00,94.37,93.82,94.37,3100,94.37
2016-05-09,93.02,93.71,93.02,93.32,3700,93.32
2016-05-06,92.17,92.30,91.91,92.16,4400,92.16
2016-05-05,92.67,93.09,92.58,92.93,4000,92.93
2016-05-04,92.51,92.51,91.60,91.93,10000,91.93
2016-05-03,92.57,92.70,91.81,92.19,6900,92.19
2016-05-02,92.98,92.98,92.25,92.57,16200,92.57
2016-04-29,94.25,94.45,92.32,92.32,6600,92.32
2016-04-28,95.35,96.28,95.00,96.26,3900,96.26
2016-04-27,96.00,96.00,94.84,95.28,19300,95.28
2016-04-26,97.67,97.67,96.45,96.45,3900,96.45
2016-04-25,97.15,97.21,96.87,96.96,300,96.96
2016-04-22,97.69,97.86,96.71,97.08,4600,97.08
2016-04-21,98.60,98.87,97.84,98.64,8400,98.64
2016-04-20,97.68,98.61,97.53,98.61,15900,98.61
2016-04-19,99.11,99.31,97.84,97.90,5300,97.90
2016-04-15,99.20,99.20,98.60,98.89,4700,98.89
2016-04-14,98.88,99.20,98.81,99.20,2600,99.20
2016-04-13,97.89,98.88,97.40,98.88,15200,98.88
2016-04-12,96.00,96.49,95.12,96.38,6200,96.38
2016-04-11,96.24,96.91,95.71,96.13,12000,96.13
2016-04-08,97.15,97.20,96.31,96.31,3800,96.31
2016-04-07,97.37,98.50,96.35,96.46,3900,96.46
2016-04-06,96.99,97.03,96.45,97.02,3200,97.02
2016-04-05,96.80,96.91,96.35,96.40,3100,96.40
2016-04-04,99.40,99.40,97.00,97.17,12300,97.17
2016-03-31,97.37,97.37,96.30,96.68,6800,96.68
2016-03-30,96.98,97.88,96.98,97.23,37100,97.23
2016-03-29,96.20,96.90,94.00,96.85,6700,96.85
2016-03-24,96.60,96.75,96.25,96.36,8800,96.36
2016-03-23,97.26,97.59,96.72,97.07,19300,97.07
2016-03-22,96.68,97.15,96.31,97.15,20700,97.15
2016-03-21,95.55,96.38,95.55,96.38,17100,96.38
2016-03-18,96.13,96.13,95.39,95.98,14400,95.98
2016-03-17,96.14,96.14,94.82,95.51,4400,95.51
2016-03-16,96.94,97.15,96.34,97.08,4300,97.08
2016-03-15,95.78,96.51,95.78,96.38,17600,96.38
2016-03-14,96.00,96.61,95.70,96.61,1800,96.61
2016-03-11,94.90,96.03,94.90,95.40,56300,95.40
2016-03-10,96.31,98.35,93.59,93.59,17100,93.59
2016-03-09,95.72,96.10,95.06,95.41,23100,95.41
2016-03-08,94.82,95.46,94.68,95.24,17700,95.24
2016-03-07,96.41,96.66,96.22,96.30,13900,96.30
2016-03-04,96.67,97.98,95.74,96.69,20800,96.69
2016-03-03,98.05,98.05,96.40,96.40,9200,96.40
2016-03-02,97.96,98.24,97.68,97.72,8500,97.72
2016-02-29,94.09,96.15,93.91,96.15,6100,96.15
2016-02-26,95.23,95.73,95.07,95.18,8600,95.18
2016-02-25,92.99,94.01,92.99,93.41,6400,93.41
2016-02-24,93.28,93.28,91.08,91.28,1700,91.28
2016-02-23,93.50,93.98,92.94,92.97,3000,92.97
2016-02-22,92.90,94.00,92.90,94.00,2400,94.00
2016-02-19,91.89,92.05,91.14,92.02,8800,92.02
2016-02-18,92.60,93.40,92.15,92.32,11700,92.32
2016-02-17,89.77,92.06,89.70,91.99,6200,91.99
2016-02-16,90.12,90.12,89.12,89.60,15300,89.60
2016-02-15,88.76,89.91,88.76,89.68,17800,89.68
2016-02-12,87.05,87.83,86.70,87.83,9200,87.83
2016-02-11,87.40,87.40,83.83,84.30,16300,84.30
2016-02-10,86.00,88.47,85.88,87.38,37700,87.38
2016-02-09,87.09,87.25,84.94,85.93,63600,85.93
2016-02-08,88.80,88.80,85.49,85.94,44100,85.94
2016-02-05,90.84,91.57,89.17,89.03,3600,89.03
2016-02-04,92.33,92.66,90.08,90.95,8900,90.95
2016-02-03,94.40,94.61,90.83,91.61,13200,91.61
2016-02-02,96.01,96.22,94.87,95.61,25800,95.61
2016-02-01,96.15,96.29,95.34,96.23,26300,96.23
2016-01-29,94.13,95.79,93.88,95.79,3400,95.79
2016-01-28,94.11,94.49,92.22,92.94,10000,92.94
2016-01-27,94.50,94.82,94.00,94.54,2800,94.54
2016-01-26,94.00,95.24,93.47,95.24,3000,95.24
2016-01-25,95.84,96.22,95.65,95.98,2800,95.98
2016-01-22,94.83,96.11,94.75,95.84,6500,95.84
2016-01-21,92.20,95.51,92.07,94.03,25900,94.03
2016-01-20,90.57,91.85,90.16,90.98,16000,90.98
2016-01-19,93.22,95.06,93.22,93.58,25600,93.58
2016-01-18,93.47,94.18,93.00,93.22,4300,93.22
2016-01-15,95.40,95.40,92.48,92.71,62500,92.71
2016-01-14,95.10,95.63,92.80,94.98,37800,94.98
2016-01-13,98.62,98.99,97.28,97.43,13800,97.43
2016-01-12,95.83,97.94,95.83,97.48,15900,97.48
2016-01-11,96.00,96.83,95.52,95.69,2600,95.69
2016-01-08,98.10,98.40,96.89,96.64,6200,96.64
2016-01-07,100.00,100.00,97.29,98.93,7100,98.93
2016-01-06,102.00,102.00,100.33,101.66,2500,101.66
2016-01-05,102.58,102.90,101.84,102.50,2000,102.50
2016-01-04,101.18,101.74,100.59,101.18,6200,101.18
2015-12-30,105.15,105.25,104.68,104.89,23400,104.89
2015-12-29,103.31,105.38,103.31,105.38,2400,105.38
2015-12-28,103.58,103.58,102.37,102.51,8900,102.51
2015-12-23,103.27,104.01,103.16,104.01,11000,104.01
2015-12-22,103.19,103.19,102.07,102.07,1600,102.07
2015-12-21,102.36,102.93,101.59,101.59,17600,101.59
2015-12-18,103.75,103.75,102.81,103.29,4700,103.29
2015-12-17,105.39,106.13,104.60,104.93,12100,104.93
2015-12-16,103.72,104.27,103.23,103.30,3000,103.30
2015-12-15,101.56,103.83,101.56,103.72,7700,103.72
2015-12-14,100.00,102.40,99.41,99.98,1500,99.98
2015-12-11,103.86,104.20,101.83,101.93,3800,101.93
2015-12-10,104.28,104.49,103.42,104.18,20200,104.18
2015-12-09,106.00,106.00,104.28,104.28,3200,104.28
2015-12-08,105.74,106.27,104.53,105.78,8200,105.78
2015-12-07,106.62,107.38,106.06,105.74,2300,105.74
2015-12-04,105.00,105.45,103.04,105.44,8400,105.44
2015-12-03,108.53,110.80,105.14,105.14,6200,105.14
2015-12-02,108.76,110.00,108.76,109.65,3200,109.65
2015-12-01,108.81,108.95,108.00,108.53,7600,108.53
2015-11-30,108.50,109.02,108.15,108.43,1600,108.43
2015-11-27,107.79,108.71,107.79,108.59,3400,108.59
2015-11-26,108.20,108.70,108.20,108.70,5100,108.70
2015-11-25,107.56,108.50,107.56,108.10,1800,108.10
2015-11-24,107.89,107.89,106.36,107.33,5100,107.33
2015-11-23,108.40,108.56,107.93,108.56,6500,108.56
2015-11-20,107.24,108.07,106.91,108.05,2800,108.05
2015-11-19,106.86,107.39,106.40,106.61,16000,106.61
2015-11-18,103.53,106.46,103.53,106.46,3300,106.46
2015-11-17,104.80,105.92,104.80,105.92,5900,105.92
2015-11-16,102.17,103.32,100.95,102.95,6900,102.95
2015-11-13,105.50,105.50,103.45,103.79,17800,103.79
2015-11-12,106.37,106.68,104.84,105.50,7700,105.50
2015-11-11,106.28,106.72,105.76,106.15,7700,106.15
2015-11-10,105.91,106.57,105.78,106.30,15100,106.30
2015-11-09,107.09,107.19,105.54,105.54,13600,105.54
2015-11-06,106.46,107.70,105.82,107.10,7100,107.10
2015-11-05,106.50,107.16,105.05,105.92,5500,105.92
